longitude,latitude,lat_long_interaction,summer_precip_ratio,coastal_proximity,sand_clay_ratio,total_annual_precip
7.59199,28.15283,0.5559051063532586,0.07693002456348007,0.5173038704001759,0.568154430404987,-0.15437689305071256
-1.8103,24.93214,-1.5193358841701508,0.006321987722954368,1.3162310161527861,0.568154430404987,-1.5162967171896238
-6.21525,29.35227,-2.6199799475370824,0.004037472681650293,0.21976974705967742,-0.46380817864930185,0.8888517574690097
10.68141,23.67795,0.8699753074454434,-0.01249597107575329,1.627346471825784,-0.6348707923031538,-0.7421411025883804
4.44982,35.87755,0.12231283753078066,0.049715286994026074,-1.3988968509788144,0.568154430404987,1.4394436387198906
0.26737,35.48704,-1.0814511021529212,0.04801846248451582,-1.3020266027749043,-0.4665975876997793,0.9168746277961222
0.46103,27.80061,-1.054766158918063,0.012573911902911959,0.6046758681015959,-0.6348707923031538,-1.17540909546899
9.07843,27.74606,0.8617725795149199,0.022637618253577983,0.6182075882611903,-0.6348707923031538,-0.573086712031802
0.78936,27.12635,-0.9858598641483849,0.011042437736072401,0.7719333866132052,-0.6348707923031538,-1.367996792031709
9.29181,28.248,0.9466224836902614,0.03936346962500037,0.4936959179237576,-0.6348707923031538,-0.3156700340059965
6.04023,31.3678,0.36136606874946786,0.07157855432130504,-0.2802043672073761,-0.46380817864930185,-0.12320665884389831
-0.52059,28.20007,-1.2752010506593385,0.01271461638691343,0.5055854751602266,1.6920559916996183,-1.2152974752451966
-2.80292,28.59882,-1.8001188090950277,0.011061116536234272,0.40667120543266727,0.568154430404987,-0.85760466595861
4.24476,22.78724,-0.3821046395481755,-0.01608774768152375,1.8482967644628605,-0.6010686283007015,-0.7567762788349384
-5.12557,28.50047,-2.3285752132042865,0.021278334165715358,0.4310679914582609,-0.46380817864930185,-0.2194030406295566
5.10297,31.78029,0.14255636176279332,0.057720267663707074,-0.38252699321344796,-0.46380817864930185,-0.1671814616640617
9.60861,29.5031,1.115039344893701,0.03680784204182553,0.18235472686404683,1.6920559916996183,-0.3768973026081326
6.7855,31.18892,0.5390416642831095,-0.06009516333057967,-0.23583123976194473,0.568154430404987,0.12671062793526067
5.48212,36.52253,0.44756098553300594,0.21698346597258195,-1.5588911473772635,-0.4665975876997793,-0.02609446179158054
7.25371,27.3884,0.4351082789255856,0.028037169672242068,0.7069290370656011,0.568154430404987,-0.45665588074299096
9.57303,29.85624,1.13372504021053,0.03136283216365924,0.09475451316726864,1.6920559916996183,-0.4547416635689229
5.86453,31.83669,0.3392284334300311,0.3518315592808252,-0.3965176259724056,-0.46380817864930185,-0.022869169973452567
4.16671,36.62729,0.0659299164318415,0.21698346597258195,-1.5848780035444336,-0.4665975876997793,-0.02609446179158054
9.86976,27.63997,1.0293915889427487,0.019784260967502822,0.6445243653781724,0.568154430404987,-0.67042966545202
5.04837,31.84965,0.13145309395029084,0.08014885084548605,-0.3997324947765915,-0.46380817864930185,-0.12101095095322247
6.78464,31.1868,0.5387113364260784,-0.06009516333057967,-0.23530535072916173,0.568154430404987,0.12671062793526067
6.46836,32.13511,0.5088117275238478,-0.0267659329412969,-0.4705439491626199,-0.49702491786618946,0.18597825527002085
2.51032,27.1836,-0.6104697939813453,0.012645929595619339,0.7577319021194052,0.568154430404987,-1.0813408461647867
6.78744,31.18882,0.5395212745374458,-0.06009516333057967,-0.23580643367549273,0.568154430404987,0.12671062793526067
4.714,31.16852,0.02034084882891545,0.02078972606591687,-0.23077079812572635,-0.46380817864930185,-0.710009078156445
7.77235,27.93883,0.5832763931025966,0.06397223112858956,0.5703888954075688,0.568154430404987,-0.18604212775654438
6.78386,31.18756,0.5385576600347809,-0.06009516333057967,-0.23549387698619725,0.568154430404987,0.12671062793526067
-2.19487,26.38132,-1.6216981050925712,0.012656986575004732,0.9567461725069321,0.568154430404987,-1.3523053490428307
0.33945,29.05192,-1.0784568981527003,0.014201482662356428,0.29427482771841756,-0.6348707923031538,-1.0440294302773352
4.04507,35.12718,-0.01843104530073173,0.21698346597258195,-1.2127594200685488,-0.6010686283007015,-0.02609446179158054
2.74568,35.2257,-0.382167688542759,0.21698346597258195,-1.237198376441111,-0.34193880466735826,-0.02609446179158054
6.78184,31.18812,0.5380830738919037,-0.06009516333057967,-0.23563279107032878,0.568154430404987,0.12671062793526067
8.96241,28.75319,0.9083262093892521,0.052588680129147185,0.3683780497766338,1.6920559916996183,-0.217774257451371
10.21957,35.39442,1.7421872618273821,0.04933100027819861,-1.2790512055030123,-1.3154532958022196,1.2748845932507928
6.77983,31.18915,0.5376365146504247,-0.06009516333057967,-0.23588829376078493,0.568154430404987,0.12671062793526067
1.00409,27.96076,-0.932448506750587,0.011946450845728672,0.5649489206486333,1.6920559916996183,-1.2593876138754323
6.78866,31.18602,0.5396739259529283,-0.06009516333057967,-0.23511186325483513,0.568154430404987,0.12671062793526067
2.04875,27.35045,-0.7083137899760568,0.012309410939371811,0.7163429468741556,-0.6348707923031538,-1.1361423425467942
6.7884,31.19194,0.5399310874997022,-0.06009516333057967,-0.23658038357279657,0.568154430404987,0.12671062793526067
6.99028,30.00582,0.5239438916512436,0.06032432697413612,0.057649569052288435,0.568154430404987,-0.20376705322984992
6.78524,31.18677,0.5388597103115256,-0.06009516333057967,-0.23529790890322552,0.568154430404987,0.12671062793526067
9.67465,37.32346,1.7371822255869924,0.04953137889668931,-1.7575705355976863,-0.2817204601206103,1.3556985573698825
-2.24489,28.50325,-1.6704633233225694,0.014467676694207397,0.4303783822548935,0.568154430404987,-1.0506218603820505
8.5427,33.3684,1.1276449087567078,-0.0036972367869805203,-0.7764749327671392,-0.18415556342001227,1.3093893605175289
-0.21214,35.01152,-1.217054603561565,0.04978629931041401,-1.1840687004781034,-0.4665975876997793,1.4746165123887882
1.07535,27.66796,-0.918999827460727,0.011791001542240486,0.637581141780243,1.6920559916996183,-1.2655108024031752
9.30501,35.04522,1.456641894697027,0.21698346597258195,-1.1924283516124459,-0.8577194315907894,-0.02609446179158054
8.26227,30.61286,0.8701181848854552,0.03967540245522266,-0.09293329814625147,0.568154430404987,-0.3470962364746708
4.12859,28.71788,-0.20704004552114072,0.015248608228000768,0.3771370789028533,1.6920559916996183,-0.6832501284174106
7.02463,30.47581,0.5586730923390024,0.3254861773968238,-0.05893655666371298,0.568154430404987,-0.03652817919995735
6.68401,36.13796,0.778848306249062,0.21698346597258195,-1.4634943807086045,-0.34193880466735826,-0.02609446179158054
3.10381,36.70793,-0.24415581302811878,0.04914209412827638,-1.6048816316593675,0.568154430404987,1.2070511235794368
6.03379,31.85252,0.38319255954837883,-0.03711498368007657,-0.4004444294577649,-0.46380817864930185,0.12422371370605016
-1.48063,31.76809,-1.5345843739273728,0.013428108070919546,-0.37950065066629757,1.6920559916996183,2.700508159378322
