longitude,latitude,class
3.27113,36.62284,1
3.51371,36.6528,1
5.33101,36.64084,1
5.32825,36.64039,1
5.00416,36.78704,1
3.27172,36.62288,1
5.29515,34.72124,1
-0.25103,35.81411,1
-0.70434,35.522,1
5.92403,36.69563,1
5.926,36.69453,1
7.44616,36.87881,1
6.9898,36.86673,1
2.75639,36.66942,1
5.89249,34.4395,1
6.50923,36.29177,1
3.31339,36.73434,1
3.3381,36.69444,1
0.7715,35.81147,1
-0.34562,33.47475,1
5.13353,36.61989,1
5.64577,35.09335,1
2.75041,36.47446,1
2.75646,36.47301,1
5.63547,36.19258,1
3.86343,36.66605,1
5.4911,36.61446,1
3.86082,36.66432,1
3.86107,36.6685,1
7.89738,35.64162,1
6.80342,35.24761,1
6.79744,35.23923,1
6.79563,35.24589,1
6.8056,35.24654,1
6.79987,35.24087,1
6.79642,35.24065,1
6.80334,35.2411,1
6.79293,35.24042,1
6.8021,35.24631,1
6.79886,35.24609,1
-0.00818,35.76959,1
2.14861,34.49807,1
6.35866,36.23634,1
6.36066,36.23624,1
5.98931,35.63696,1
5.98712,35.63646,1
-0.76182,35.73644,1
0.05892,35.80047,1
3.26663,36.62891,1
5.86888,36.05645,1
7.70558,36.7916,1
-0.5833,35.20234,1
3.15158,36.70874,1
7.45458,36.88,1
6.92993,36.87068,1
5.74586,36.58976,1
6.6205,36.4353,1
-1.34085,35.31128,1
3.85109,36.90961,1
3.85116,36.91074,1
-0.26247,35.6243,1
-0.25292,35.74749,1
5.9175,33.59866,1
-1.534,34.92911,1
5.66672,34.90897,1
0.33119,34.80086,1
-0.25377,35.74693,1
-0.7897,35.45266,1
3.34881,36.67438,1
-1.34159,35.31062,1
6.91785,36.83276,1
5.27839,34.74515,1
5.66699,34.90732,1
0.76894,35.71661,1
5.63486,36.19292,1
4.49593,35.70698,1
0.33116,34.80014,1
6.52635,36.36713,1
5.7135,35.57927,1
2.68839,36.27035,1
2.68906,36.27433,1
2.69465,36.2716,1
2.68765,36.27231,1
7.36056,35.76725,1
-1.29977,34.89267,1
6.51165,36.29211,1
6.51238,36.28881,1
4.75884,36.05834,1
3.18661,36.71254,1
3.3136,36.73441,1
3.18751,36.70917,1
4.48759,36.84074,1
2.69141,36.27133,1
5.1494,36.6317,1
5.19189,36.54611,1
6.10899,36.63084,1
6.25949,36.74975,1
2.14862,36.24457,1
2.69291,36.27369,1
2.69035,36.27377,1
2.65276,36.47698,1
8.34968,36.77693,1
2.72733,36.43017,1
-0.00805,35.77155,1
6.01338,36.21045,1
-0.36881,34.56039,1
5.50147,34.7569,1
4.67107,35.78183,1
3.03657,36.28535,1
3.20764,36.60926,1
7.41846,36.90378,1
0.08182,34.04139,1
2.77232,36.48654,1
4.56313,35.69883,1
-0.17968,35.79929,1
1.58031,36.52578,1
3.32932,36.75874,1
3.3882,36.69094,1
-0.24098,35.80509,1
3.90402,36.34238,1
-0.20797,35.802,1
-0.25263,35.74805,1
2.65743,33.87302,1
1.40065,36.52996,1
5.70494,36.41942,1
3.27432,36.62453,1
3.2739,36.62035,1
4.50055,35.71003,1
3.88266,35.72528,1
-0.20558,35.80082,1
-0.9414,34.94708,1
7.76979,36.90052,1
7.13064,35.44523,1
7.13139,35.44196,1
3.0788,36.752,1
-0.25568,35.77304,1
3.28187,36.38591,1
-0.34554,33.47329,1
6.95872,36.87411,1
6.95095,36.87393,1
1.13957,36.32959,1
5.80111,34.8575,1
6.31996,36.99447,1
-0.00898,35.7704,1
6.50984,36.29269,1
4.37687,36.84357,1
0.41047,36.17744,1
2.67766,36.48486,1
5.97766,36.07646,1
6.51056,36.28938,1
2.18756,35.26629,1
-0.17977,35.79943,1
-0.25155,35.81344,1
-0.24088,35.80471,1
3.68012,36.8196,1
5.40436,34.79124,1
5.4087,34.79098,1
5.40089,34.78659,1
6.12723,33.09198,1
5.52087,36.12811,1
5.51964,36.12455,1
6.60887,36.65198,1
5.90743,36.7242,1
-1.09409,35.51541,1
7.30156,35.35769,1
0.43535,35.96078,1
7.301,35.35693,1
6.54724,36.03436,1
2.1508,36.24503,1
0.08895,34.80576,1
0.08812,34.80659,1
-1.54577,34.7301,1
-1.1073,34.81986,1
-1.10806,34.82314,1
