longitude,latitude,class
6.78944,31.18608,1
5.81731,31.4906,1
4.27579,32.37514,1
-0.89872,34.86406,1
6.07631,35.48929,1
5.88401,34.4412,1
7.02552,30.47216,1
6.98128,32.3595,1
6.97632,32.35672,1
6.78544,31.18707,1
6.79032,31.18986,1
6.7861,31.19045,1
6.05288,31.35911,1
8.36008,31.28742,1
8.36078,31.2907,1
6.46861,32.13684,1
9.395,28.19926,1
9.496,28.12681,1
-0.16228,28.2151,1
0.46177,27.79859,1
-0.26806,35.80895,1
7.0244,30.47256,1
6.65773,29.17667,1
9.39841,28.19545,1
7.86163,27.921,1
6.78672,31.18701,1
6.78753,31.19032,1
6.78366,31.19019,1
6.78824,31.18972,1
6.05312,31.36034,1
5.92765,31.77273,1
4.99568,31.94139,1
6.46985,32.13803,1
6.97756,32.35688,1
6.98056,32.36016,1
7.02663,30.47461,1
7.02231,30.47507,1
9.39764,28.19874,1
9.49491,28.12836,1
7.85997,27.92172,1
4.99135,31.94057,1
4.99923,31.93816,1
4.99956,31.94103,1
0.46333,27.80156,1
6.65788,29.17705,1
0.40369,27.8404,1
7.86112,27.92213,1
0.40168,27.84068,1
7.02658,30.47354,1
-0.07997,28.25447,1
0.40393,27.83896,1
-0.07949,28.24885,1
-1.65646,34.62424,1
7.87843,30.94588,1
6.78713,31.19135,1
6.78271,31.19164,1
5.97201,31.41053,1
6.22095,31.70645,1
4.9981,31.94231,1
6.97667,32.35999,1
6.98114,32.3597,1
6.9722,32.36027,1
6.46571,32.14066,1
6.47052,32.14038,1
6.46918,32.14039,1
7.02068,30.47647,1
7.02484,30.47617,1
9.39557,28.20054,1
9.39336,28.19774,1
9.49508,28.13114,1
7.85659,27.92322,1
7.85993,27.92294,1
6.7137,29.70537,1
6.46671,32.13719,1
6.98186,32.35616,1
6.97638,32.35767,1
6.06223,31.89979,1
6.22139,31.70472,1
4.99537,31.94147,1
4.9997,31.94033,1
4.99794,31.94288,1
5.97139,31.60329,1
7.87848,30.94265,1
7.87936,30.94519,1
6.78122,31.18759,1
6.78688,31.18604,1
7.89978,30.38777,1
7.02565,30.47461,1
3.70022,32.79558,1
3.70081,32.79596,1
-1.34115,35.31086,1
8.55551,31.23795,1
8.55303,31.23531,1
6.92247,31.40279,1
6.9689,32.3618,1
6.97749,32.36157,1
7.64615,28.57735,1
7.64722,28.57815,1
-0.59424,35.50997,1
4.99731,31.94108,1
4.99839,31.93916,1
6.46895,32.13782,1
6.9775,32.35834,1
6.98347,32.35696,1
6.7887,31.18927,1
6.78829,31.19063,1
6.05226,31.3572,1
6.78679,31.1859,1
7.02514,30.4731,1
9.49188,28.12681,1
9.49177,28.12889,1
9.39591,28.19793,1
6.6585,29.17788,1
6.6576,29.17326,1
7.02585,30.47278,1
7.8619,27.91999,1
2.06807,27.29686,1
7.0256,30.46883,1
5.76651,30.97456,1
6.79145,31.18633,1
6.78968,31.1877,1
5.00009,31.93775,1
6.97674,32.35709,1
6.98281,32.35975,1
7.02478,30.47259,1
6.78791,31.1888,1
6.05179,31.35853,1
8.2864,31.27596,1
5.00053,31.94051,1
-0.20642,33.09658,1
6.46867,32.13479,1
9.39614,28.19531,1
9.39737,28.19978,1
0.40118,27.83721,1
0.40181,27.84053,1
7.8621,27.92099,1
7.8578,27.92188,1
0.46306,27.79754,1
9.49606,28.12551,1
2.46626,27.19688,1
6.65773,29.17648,1
2.4656,27.20019,1
2.46235,27.19626,1
7.86292,27.91922,1
6.20461,31.57185,1
6.09599,31.37621,1
6.78598,31.18745,1
6.78855,31.18878,1
6.78455,31.1894,1
6.05246,31.3611,1
8.2885,31.27518,1
5.00073,31.94111,1
6.47105,32.13492,1
6.97537,32.35755,1
6.98012,32.36022,1
6.98418,32.35959,1
9.49494,28.12676,1
7.02239,30.47152,1
7.02635,30.4709,1
7.86024,27.92303,1
0.45931,27.79859,1
3.70164,26.60932,1
7.85966,27.92202,1
6.65817,29.1768,1
9.0887,28.54223,1
5.00133,31.94032,1
6.048,31.36167,1
6.78729,31.18873,1
7.02474,30.47043,1
7.70588,36.78705,1
5.49884,36.16796,1
4.74489,36.64977,1
6.98136,32.35869,1
6.05266,31.36172,1
8.46304,31.29028,1
6.14024,31.75669,1
6.4687,32.13777,1
6.9757,32.32372,1
6.78746,31.19002,1
7.02284,30.47311,1
9.4952,28.12796,1
7.85842,27.92474,1
7.8629,27.92413,1
7.85781,27.92121,1
7.86229,27.9206,1
5.82066,31.50394,1
0.40367,27.83653,1
0.40848,27.83776,1
5.84596,31.5103,1
6.9848,32.35712,1
5.86056,31.72339,1
3.74372,36.18412,1
4.99732,31.9412,1
6.46728,32.13582,1
6.97583,32.35648,1
6.98355,32.36106,1
6.97995,32.36134,1
7.02599,30.4741,1
7.02265,30.47439,1
7.02323,30.47391,1
6.78622,31.19072,1
7.85918,27.92225,1
9.49342,28.12968,1
6.9798,32.36313,1
6.97291,32.35522,1
6.98222,32.35963,1
6.78643,31.18641,1
6.78904,31.18842,1
6.78216,31.19044,1
4.99857,31.93913,1
4.99641,31.94087,1
6.46478,32.13381,1
6.97714,32.35677,1
7.02295,30.47385,1
7.02397,30.47316,1
7.86251,27.9194,1
4.50706,36.83259,1
4.50659,36.83256,1
6.04834,31.8052,1
6.04651,31.80031,1
7.69649,28.61752,1
7.5093,28.43153,1
7.50815,28.48259,1
5.98569,31.65163,1
5.95062,31.59647,1
5.96293,31.40766,1
